filename;file_size;file_attributes;region_count;region_id;region_shape_attributes;region_attributes
porsche_taycan1.jpg;6826;{};1;0;"{""name"":""rect"",""x"":48,""y"":58,""width"":196,""height"":63}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan2.jpg;10573;{};1;0;"{""name"":""rect"",""x"":27,""y"":42,""width"":246,""height"":107}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan3.jpg;9274;{};1;0;"{""name"":""rect"",""x"":26,""y"":68,""width"":220,""height"":90}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan4.jpg;6340;{};1;0;"{""name"":""rect"",""x"":15,""y"":42,""width"":261,""height"":120}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan5.jpg;7051;{};1;0;"{""name"":""rect"",""x"":2,""y"":41,""width"":312,""height"":93}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan6.jpg;7568;{};1;0;"{""name"":""rect"",""x"":26,""y"":42,""width"":234,""height"":111}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan7.jpg;6740;{};1;0;"{""name"":""rect"",""x"":7,""y"":58,""width"":287,""height"":86}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan8.jpg;4979;{};1;0;"{""name"":""rect"",""x"":53,""y"":40,""width"":201,""height"":86}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan9.jpg;7367;{};1;0;"{""name"":""rect"",""x"":39,""y"":51,""width"":204,""height"":97}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan10.jpg;8414;{};1;0;"{""name"":""rect"",""x"":36,""y"":22,""width"":221,""height"":104}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan11.jpg;6998;{};1;0;"{""name"":""rect"",""x"":40,""y"":49,""width"":215,""height"":94}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan12.jpg;7128;{};1;0;"{""name"":""rect"",""x"":22,""y"":29,""width"":260,""height"":104}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan13.jpg;9528;{};1;0;"{""name"":""rect"",""x"":22,""y"":65,""width"":235,""height"":63}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan14.jpg;7353;{};1;0;"{""name"":""rect"",""x"":16,""y"":30,""width"":266,""height"":104}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan15.jpg;11261;{};1;0;"{""name"":""rect"",""x"":7,""y"":16,""width"":332,""height"":121}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan16.jpg;6772;{};1;0;"{""name"":""rect"",""x"":75,""y"":44,""width"":164,""height"":71}";"{""porsche_taycan"":""porsche_taycan""}"
porsche_taycan17.jpg;10120;{};1;0;"{""name"":""rect"",""x"":24,""y"":39,""width"":278,""height"":86}";"{""porsche_taycan"":""porsche_taycan""}"
